monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_id
0,0,0,0,0,0,1,20260627,20260628,445
0,0,0,0,0,0,1,20260627,20260705,470
0,0,0,0,0,0,1,20260628,20260705,561
0,0,0,0,0,0,1,20260628,20260705,688
0,0,0,0,0,0,1,20260628,20260712,123
0,0,0,0,0,0,1,20260628,20260712,668
0,0,0,0,0,0,1,20260628,20260719,286
0,0,0,0,0,0,1,20260628,20260719,534
0,0,0,0,0,0,1,20260628,20260726,212
0,0,0,0,0,0,1,20260628,20260726,577
0,0,0,0,0,0,1,20260628,20260726,588
0,0,0,0,0,0,1,20260705,20260712,452
0,0,0,0,0,0,1,20260705,20260726,204
0,0,0,0,0,0,1,20260711,20260719,474
0,0,0,0,0,0,1,20260712,20260719,349
0,0,0,0,0,0,1,20260712,20260726,491
0,0,0,0,0,0,1,20260712,20260726,65
0,0,0,0,0,0,1,20260718,20260726,360
0,0,0,0,0,0,1,20260719,20260726,260
0,0,0,0,0,0,1,20260719,20260726,408
0,0,0,0,0,0,1,20260719,20260726,801
0,0,0,0,0,0,1,20260719,20260727,666
0,0,0,0,0,1,0,20260627,20260704,409
0,0,0,0,0,1,0,20260627,20260704,485
0,0,0,0,0,1,0,20260627,20260705,218
0,0,0,0,0,1,0,20260627,20260711,222
0,0,0,0,0,1,0,20260627,20260711,746
0,0,0,0,0,1,0,20260627,20260712,778
0,0,0,0,0,1,0,20260627,20260713,312
0,0,0,0,0,1,0,20260627,20260717,725
0,0,0,0,0,1,0,20260627,20260718,354
0,0,0,0,0,1,0,20260627,20260718,700
0,0,0,0,0,1,0,20260627,20260725,554
0,0,0,0,0,1,0,20260627,20260725,831
0,0,0,0,0,1,0,20260627,20260725,864
0,0,0,0,0,1,0,20260627,20260726,727
0,0,0,0,0,1,0,20260702,20260712,555
0,0,0,0,0,1,0,20260704,20260711,523
0,0,0,0,0,1,0,20260704,20260717,250
0,0,0,0,0,1,0,20260704,20260718,513
0,0,0,0,0,1,0,20260711,20260718,642
0,0,0,0,0,1,0,20260711,20260725,106
0,0,0,0,0,1,0,20260711,20260725,172
0,0,0,0,0,1,0,20260718,20260725,41
0,0,0,0,0,1,0,20260718,20260725,721
0,0,0,0,0,1,0,20260718,20260726,626
0,0,0,0,0,1,1,20260627,20260628,845
0,0,0,0,0,1,1,20260627,20260704,865
0,0,0,0,0,1,1,20260627,20260705,239
0,0,0,0,0,1,1,20260627,20260705,99
0,0,0,0,0,1,1,20260627,20260712,129
0,0,0,0,0,1,1,20260627,20260712,793
0,0,0,0,0,1,1,20260627,20260712,881
0,0,0,0,0,1,1,20260627,20260719,628
0,0,0,0,0,1,1,20260627,20260725,419
0,0,0,0,0,1,1,20260627,20260726,258
0,0,0,0,0,1,1,20260627,20260726,762
0,0,0,0,0,1,1,20260627,20260726,781
0,0,0,0,0,1,1,20260628,20260705,414
0,0,0,0,0,1,1,20260628,20260719,238
0,0,0,0,0,1,1,20260628,20260719,580
0,0,0,0,0,1,1,20260704,20260705,755
0,0,0,0,0,1,1,20260704,20260712,35
0,0,0,0,0,1,1,20260704,20260719,131
0,0,0,0,0,1,1,20260704,20260726,637
0,0,0,0,0,1,1,20260704,20260726,833
0,0,0,0,0,1,1,20260711,20260712,655
0,0,0,0,0,1,1,20260711,20260719,313
0,0,0,0,0,1,1,20260711,20260726,288
0,0,0,0,0,1,1,20260711,20260726,798
0,0,0,0,0,1,1,20260711,20260726,873
0,0,0,0,0,1,1,20260712,20260719,180
0,0,0,0,0,1,1,20260712,20260726,659
0,0,0,0,0,1,1,20260712,20260726,766
0,0,0,0,0,1,1,20260718,20260719,646
0,0,0,0,0,1,1,20260718,20260725,267
0,0,0,0,0,1,1,20260718,20260726,162
0,0,0,0,0,1,1,20260719,20260725,817
0,0,0,0,0,1,1,20260719,20260726,612
0,0,0,0,0,1,1,20260725,20260726,510
0,0,0,0,0,1,1,20260725,20260726,749
0,0,0,0,1,0,0,20260627,20260710,548
0,0,0,0,1,0,0,20260627,20260710,776
0,0,0,0,1,0,0,20260627,20260724,214
0,0,0,0,1,0,0,20260703,20260710,457
0,0,0,0,1,0,0,20260703,20260717,124
0,0,0,0,1,0,0,20260703,20260717,196
0,0,0,0,1,0,0,20260703,20260717,774
0,0,0,0,1,0,0,20260703,20260724,583
0,0,0,0,1,0,0,20260710,20260717,834
0,0,0,0,1,0,1,20260627,20260710,570
0,0,0,0,1,0,1,20260628,20260703,858
0,0,0,0,1,0,1,20260628,20260710,254
0,0,0,0,1,0,1,20260628,20260726,270
0,0,0,0,1,0,1,20260630,20260713,827
0,0,0,0,1,0,1,20260703,20260705,761
0,0,0,0,1,0,1,20260705,20260710,839
0,0,0,0,1,0,1,20260710,20260712,438
0,0,0,0,1,0,1,20260712,20260717,806
0,0,0,0,1,0,1,20260719,20260724,465
0,0,0,0,1,1,0,20260627,20260703,388
0,0,0,0,1,1,0,20260627,20260704,516
0,0,0,0,1,1,0,20260627,20260705,567
0,0,0,0,1,1,0,20260627,20260709,251
0,0,0,0,1,1,0,20260627,20260710,160
0,0,0,0,1,1,0,20260627,20260711,664
0,0,0,0,1,1,0,20260627,20260717,651
0,0,0,0,1,1,0,20260627,20260725,481
0,0,0,0,1,1,0,20260627,20260726,276
0,0,0,0,1,1,0,20260703,20260704,584
0,0,0,0,1,1,0,20260703,20260704,773
0,0,0,0,1,1,0,20260703,20260724,442
0,0,0,0,1,1,0,20260710,20260711,863
0,0,0,0,1,1,0,20260710,20260718,139
0,0,0,0,1,1,0,20260710,20260719,515
0,0,0,0,1,1,0,20260711,20260717,737
0,0,0,0,1,1,0,20260711,20260720,521
0,0,0,0,1,1,0,20260711,20260725,155
0,0,0,0,1,1,0,20260717,20260718,163
0,0,0,0,1,1,0,20260717,20260718,539
0,0,0,0,1,1,0,20260717,20260725,184
0,0,0,0,1,1,0,20260718,20260725,643
0,0,0,0,1,1,0,20260718,20260726,128
0,0,0,0,1,1,0,20260724,20260725,812
0,0,0,0,1,1,1,20260627,20260705,319
0,0,0,0,1,1,1,20260627,20260710,328
0,0,0,0,1,1,1,20260627,20260726,151
0,0,0,0,1,1,1,20260703,20260705,415
0,0,0,0,1,1,1,20260710,20260712,103
0,0,0,0,1,1,1,20260710,20260720,590
0,0,0,0,1,1,1,20260710,20260720,789
0,0,0,0,1,1,1,20260710,20260726,708
0,0,0,0,1,1,1,20260710,20260726,756
0,0,0,0,1,1,1,20260711,20260717,671
0,0,0,0,1,1,1,20260711,20260720,407
0,0,0,0,1,1,1,20260711,20260720,648
0,0,0,0,1,1,1,20260714,20260727,514
0,0,0,0,1,1,1,20260717,20260719,94
0,0,0,0,1,1,1,20260717,20260724,29
0,0,0,0,1,1,1,20260717,20260726,274
0,0,0,0,1,1,1,20260717,20260726,591
0,0,0,0,1,1,1,20260718,20260725,802
0,0,0,0,1,1,1,20260718,20260726,654
0,0,0,0,1,1,1,20260718,20260727,85
0,0,0,0,1,1,1,20260719,20260726,206
0,0,0,0,1,1,1,20260724,20260726,275
0,0,0,1,0,0,0,20260629,20260709,772
0,0,0,1,0,0,0,20260715,20260723,488
0,0,0,1,0,0,0,20260716,20260723,597
0,0,0,1,0,0,0,20260716,20260724,532
0,0,0,1,0,0,1,20260702,20260705,253
0,0,0,1,0,0,1,20260705,20260709,855
0,0,0,1,0,0,1,20260723,20260726,57
0,0,0,1,0,1,0,20260702,20260704,315
0,0,0,1,0,1,1,20260627,20260704,47
0,0,0,1,1,0,0,20260702,20260703,16
0,0,0,1,1,0,0,20260709,20260710,294
0,0,0,1,1,0,0,20260710,20260716,698
0,0,0,1,1,0,0,20260716,20260717,753
0,0,0,1,1,0,0,20260723,20260724,695
0,0,0,1,1,0,1,20260628,20260717,678
0,0,0,1,1,0,1,20260705,20260710,821
0,0,0,1,1,0,1,20260719,20260724,252
0,0,0,1,1,1,0,20260627,20260726,83
0,0,0,1,1,1,0,20260709,20260711,828
0,0,0,1,1,1,0,20260716,20260718,520
0,0,0,1,1,1,0,20260718,20260725,550
0,0,0,1,1,1,0,20260723,20260725,759
0,0,0,1,1,1,1,20260627,20260710,747
0,0,0,1,1,1,1,20260628,20260716,825
0,0,0,1,1,1,1,20260702,20260705,92
0,0,0,1,1,1,1,20260703,20260709,697
0,0,0,1,1,1,1,20260710,20260720,133
0,0,0,1,1,1,1,20260710,20260720,460
0,0,0,1,1,1,1,20260711,20260720,345
0,0,0,1,1,1,1,20260711,20260720,391
0,0,0,1,1,1,1,20260712,20260725,271
0,0,0,1,1,1,1,20260716,20260726,311
0,0,0,1,1,1,1,20260718,20260726,618
0,0,0,1,1,1,1,20260719,20260725,418
0,0,1,0,0,0,1,20260627,20260705,27
0,0,1,0,0,0,1,20260628,20260701,247
0,0,1,0,0,0,1,20260701,20260705,320
0,0,1,0,0,0,1,20260712,20260715,468
0,0,1,0,0,1,0,20260711,20260715,291
0,0,1,0,0,1,1,20260627,20260701,625
0,0,1,0,0,1,1,20260722,20260726,883
0,0,1,0,1,0,0,20260715,20260717,243
0,0,1,0,1,0,0,20260722,20260724,342
0,0,1,0,1,1,0,20260701,20260710,62
0,0,1,0,1,1,1,20260627,20260705,51
0,0,1,0,1,1,1,20260627,20260709,302
0,0,1,0,1,1,1,20260717,20260725,846
0,0,1,0,1,1,1,20260718,20260725,706
0,0,1,1,0,0,0,20260629,20260709,742
0,0,1,1,0,0,0,20260629,20260710,663
0,0,1,1,0,0,0,20260701,20260702,479
0,0,1,1,0,0,0,20260708,20260709,316
0,0,1,1,0,0,0,20260715,20260716,467
0,0,1,1,0,0,0,20260722,20260723,340
0,0,1,1,0,1,1,20260701,20260705,703
0,0,1,1,0,1,1,20260715,20260719,217
0,0,1,1,1,0,0,20260627,20260710,372
0,0,1,1,1,0,0,20260701,20260724,811
0,0,1,1,1,0,0,20260710,20260718,357
0,0,1,1,1,0,0,20260715,20260717,723
0,0,1,1,1,0,0,20260715,20260717,783
0,0,1,1,1,0,0,20260717,20260723,211
0,0,1,1,1,0,0,20260722,20260724,536
0,0,1,1,1,0,1,20260701,20260705,344
0,0,1,1,1,1,0,20260627,20260710,87
0,0,1,1,1,1,0,20260701,20260704,370
0,0,1,1,1,1,1,20260627,20260709,716
0,0,1,1,1,1,1,20260701,20260705,351
0,0,1,1,1,1,1,20260701,20260717,525
0,1,0,0,0,0,0,20260707,20260714,338
0,1,0,0,0,0,1,20260628,20260630,76
0,1,0,0,0,0,1,20260630,20260707,109
0,1,0,0,0,0,1,20260712,20260714,779
0,1,0,0,0,0,1,20260714,20260719,223
0,1,0,0,0,0,1,20260719,20260721,142
0,1,0,0,0,0,1,20260721,20260726,98
0,1,0,0,0,1,0,20260627,20260630,240
0,1,0,0,0,1,0,20260630,20260704,622
0,1,0,0,0,1,0,20260718,20260721,213
0,1,0,0,0,1,1,20260627,20260630,602
0,1,0,0,1,0,0,20260710,20260714,375
0,1,0,0,1,0,0,20260714,20260717,66
0,1,0,0,1,0,0,20260717,20260721,569
0,1,0,0,1,0,1,20260710,20260723,304
0,1,0,0,1,1,0,20260630,20260704,330
0,1,0,0,1,1,0,20260717,20260721,820
0,1,0,0,1,1,1,20260627,20260710,244
0,1,0,0,1,1,1,20260701,20260710,234
0,1,0,1,0,0,0,20260630,20260709,81
0,1,0,1,0,0,0,20260707,20260709,675
0,1,0,1,0,0,0,20260713,20260724,726
0,1,0,1,0,0,0,20260714,20260716,461
0,1,0,1,0,0,1,20260628,20260726,198
0,1,0,1,0,0,1,20260628,20260726,861
0,1,0,1,0,0,1,20260630,20260705,715
0,1,0,1,0,0,1,20260712,20260716,819
0,1,0,1,0,1,1,20260628,20260704,685
0,1,0,1,1,0,0,20260627,20260710,78
0,1,0,1,1,0,0,20260628,20260709,101
0,1,0,1,1,0,0,20260702,20260710,738
0,1,0,1,1,0,1,20260701,20260709,884
0,1,0,1,1,1,1,20260630,20260710,310
0,1,0,1,1,1,1,20260701,20260710,754
0,1,1,0,0,0,0,20260627,20260709,617
0,1,1,0,0,0,0,20260627,20260709,751
0,1,1,0,0,0,0,20260630,20260701,334
0,1,1,0,0,0,0,20260630,20260701,43
0,1,1,0,0,0,0,20260707,20260708,769
0,1,1,0,0,0,0,20260714,20260715,209
0,1,1,0,0,0,0,20260714,20260715,803
0,1,1,0,0,0,0,20260721,20260722,366
0,1,1,0,0,0,1,20260627,20260705,22
