route_long_name,route_short_name,agency_id,route_type,route_id
,EC,14,2,54
,EC,2,2,88
,EC,3,2,24
,EC,7,2,19
,EC,9,2,20
,EC 62,14,2,70
,EC 62,6,2,25
,EC 85,12,2,10
,EC 85,6,2,55
,EC 90,14,2,26
,EC 90,6,2,89
,EC 95,6,2,11
,EC 95,8,2,60
,EC 96,6,2,90
,EC 96,8,2,36
,EC 97,6,2,3
,ECE,1,2,71
,ECE 20,6,2,78
,ECE 27,6,2,32
,ECE 75,6,2,27
,ECE 85,6,2,79
,ECE 88,6,2,28
,EN,14,2,65
,EN,2,2,61
,EN,3,2,37
,EN,4,2,72
,EN,8,2,66
,EN,9,2,4
,IC,1,2,62
,IC,10,2,5
,IC,14,2,46
,IC,2,2,67
,IC,5,2,15
,IC,7,2,91
,IC,8,2,63
,IC 1,7,2,38
,IC 17,6,2,29
,IC 35,6,2,6
,IC 51,6,2,47
,IC 55,6,2,80
,IC 56,6,2,39
,IC 57,6,2,81
,IC 60,6,2,68
,IC 61,6,2,56
,IC 87,6,2,82
,ICE,13,2,83
,ICE,14,2,93
,ICE,7,2,92
,ICE 1,6,2,48
,ICE 10,6,2,22
,ICE 11,6,2,16
,ICE 12,6,2,57
,ICE 13,6,2,84
,ICE 14,6,2,86
,ICE 15,6,2,7
,ICE 16,6,2,64
,ICE 17,6,2,17
,ICE 18,6,2,49
,ICE 19,6,2,23
,ICE 20,6,2,12
,ICE 22,6,2,73
,ICE 24,6,2,50
,ICE 25,6,2,58
,ICE 26,6,2,30
,ICE 27,6,2,59
,ICE 28,6,2,13
,ICE 29,6,2,40
,ICE 3,6,2,18
,ICE 33,6,2,31
,ICE 4,6,2,14
,ICE 41,6,2,8
,ICE 42,6,2,87
,ICE 43,6,2,94
,ICE 45,6,2,51
,ICE 47,6,2,1
,ICE 49,6,2,41
,ICE 50,6,2,69
,ICE 51,6,2,85
,ICE 55,6,2,34
,ICE 6,6,2,95
,ICE 60,6,2,21
,ICE 62,6,2,96
,ICE 77,6,2,35
,ICE 78,6,2,74
,ICE 79,6,2,42
,ICE 82,11,2,44
,ICE 82,6,2,2
,ICE 83,11,2,43
,ICE 83,6,2,45
,ICE 90,6,2,52
,ICE 91,6,2,97
,RJ,1,2,53
,RJ,12,2,77
,RJ,14,2,76
,RJ,2,2,9
,RJ,4,2,33
,RJ,9,2,75
