trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
1024796,06:20:00,06:20:00,113452,0,Dortmund Hbf,,
1024796,06:46:00,06:48:00,160021,1,Dortmund Hbf,,
1024796,07:31:00,07:33:00,548761,2,Dortmund Hbf,,
1024796,08:07:00,08:09:00,243570,3,Dortmund Hbf,,
1024796,08:35:00,08:37:00,596180,4,Dortmund Hbf,,
1024796,09:04:00,09:07:00,146716,5,Dortmund Hbf,,
1024796,09:38:00,09:41:00,153365,6,Dortmund Hbf,,
1024796,10:29:00,10:32:00,6204,7,Dortmund Hbf,,
1024796,10:53:00,10:56:00,481211,8,Dortmund Hbf,,
1024796,11:09:00,11:10:00,499439,9,Dortmund Hbf,,
1024796,11:22:00,11:23:00,204717,10,Dortmund Hbf,,
1024796,11:47:00,11:47:00,133638,11,Dortmund Hbf,,
104342,18:09:00,18:09:00,133638,0,München Hbf,,
104342,18:35:00,18:36:00,204717,1,München Hbf,,
104342,18:48:00,18:50:00,499439,2,München Hbf,,
104342,19:02:00,19:07:00,481211,3,München Hbf,,
104342,19:27:00,19:30:00,6204,4,München Hbf,,
104342,20:19:00,20:22:00,153365,5,München Hbf,,
104342,20:53:00,20:56:00,146716,6,München Hbf,,
104342,21:33:00,21:43:00,106423,7,München Hbf,,
104342,22:26:00,22:28:00,548761,8,München Hbf,,
104342,23:11:00,23:13:00,160021,9,München Hbf,,
104342,23:41:00,23:41:00,113452,10,München Hbf,,
1088584,06:20:00,06:20:00,113452,0,Dortmund Hbf,,
1088584,06:46:00,06:48:00,160021,1,Dortmund Hbf,,
1088584,07:31:00,07:33:00,548761,2,Dortmund Hbf,,
1088584,08:19:00,08:26:00,106423,3,Dortmund Hbf,,
1088584,09:04:00,09:07:00,146716,4,Dortmund Hbf,,
1088584,09:38:00,09:41:00,153365,5,Dortmund Hbf,,
1088584,10:29:00,10:32:00,6204,6,Dortmund Hbf,,
1088584,10:53:00,10:56:00,481211,7,Dortmund Hbf,,
1088584,11:09:00,11:10:00,499439,8,Dortmund Hbf,,
1088584,11:22:00,11:23:00,204717,9,Dortmund Hbf,,
1088584,11:47:00,11:47:00,133638,10,Dortmund Hbf,,
1089595,18:09:00,18:09:00,133638,0,München Hbf,,
1089595,18:23:00,18:24:00,477557,1,München Hbf,,
1089595,18:35:00,18:36:00,204717,2,München Hbf,,
1089595,18:48:00,18:50:00,499439,3,München Hbf,,
1089595,19:02:00,19:07:00,481211,4,München Hbf,,
1089595,19:27:00,19:30:00,6204,5,München Hbf,,
