stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code
Aachen Hbf,277969,22776,50.7678,6.091499,,
Aachen Süd(Gr),,549693,50.731915,6.04541,1,
Aachen Süd(Gr),549693,630437,50.731915,6.04541,,
"Aachen, Hbf",,277969,50.7678,6.091499,1,
Aalen Hbf,163967,526351,48.841015,10.096271,,
"Aalen, Hauptbahnhof",,163967,48.841602,10.096031,1,
Altenbeken,,575465,51.766094,8.943016,1,
Altenbeken,575465,597219,51.766434,8.943319,,
Amersfoort Centraal,,41584,52.153465,5.373909,1,
Amersfoort Centraal,41584,567542,52.153465,5.373909,,
Amsterdam Centraal,,338343,52.37919,4.899431,1,
Amsterdam Centraal,338343,333096,52.37919,4.899431,,
Andernach,652843,221650,50.434544,7.404839,,
Andernach Bahnhof,,652843,50.434532,7.404822,1,
Angermünde,571208,242474,53.01574,13.995672,,5
Angermünde,571208,315652,53.015793,13.995908,,3
"Angermünde, Bahnhof",,571208,53.015823,13.995871,1,
Anklam,,111420,53.855984,13.701563,1,
Anklam,111420,500679,53.856102,13.701827,,
Ansbach,,15869,49.29803,10.578246,1,
Ansbach,15869,619929,49.29803,10.578239,,
Apeldoorn,,652221,52.20943,5.968491,1,
Apeldoorn,652221,675654,52.20943,5.968491,,
Arnhem Centraal,,255428,51.98478,5.901003,1,
Arnhem Centraal,255428,625267,51.98478,5.901003,,
Aschaffenburg Hbf,,445726,49.980556,9.1437,1,
Aschaffenburg Hbf,445726,65141,49.980556,9.143697,,
Augsburg Hbf,,566538,48.36544,10.885569,1,
Augsburg Hbf,566538,160021,48.36544,10.88557,,
Augustfehn,,83778,53.220894,7.759677,1,
Augustfehn,83778,457681,53.22089,7.759659,,
Bad Bentheim,444858,337235,52.30985,7.158539,,
Bad Bentheim Bahnhof,,444858,52.30953,7.158788,1,
Bad Bentheim(Gr),,317278,52.3091,7.04016,1,
Bad Bentheim(Gr),317278,663871,52.3091,7.04016,,
Bad Gastein,,61391,47.11178,13.131924,1,
Bad Gastein,61391,617629,47.11178,13.131924,,
Bad Hersfeld,,277217,50.869766,9.716581,1,
Bad Hersfeld,277217,167134,50.869766,9.716581,,
Bad Hofgastein,,256461,47.195343,13.100503,1,
Bad Hofgastein,256461,598896,47.195343,13.100503,,
Bad Kleinen,57618,486105,53.766975,11.466925,,
Bad Kleinen Bahnhof,,57618,53.76746,11.466429,1,
Bad Oeynhausen,45977,578355,52.2054,8.796523,,
"Bad Oeynhausen, Bf/ZOB",,45977,52.205353,8.79916,1,
